4,10,283147
4,50,1376327
4,100,2743554
4,250,7683832
4,500,13481862
13,10,283801
13,50,1242744
13,100,2498725
13,250,6553598
13,500,13657945
21,10,852751
21,50,2344279
21,100,4066299
21,250,8482820
21,500,16952358
7,10,212483
7,50,1684611
7,100,3804061
7,250,9691273
7,500,17009122
10,10,264392
10,50,1674547
10,100,3410831
10,250,8570384
10,500,15979497
5,10,282265
5,50,1625210
5,100,3100711
5,250,8274664
5,500,17335669
3,10,273529
3,50,1543010
3,100,2975610
3,250,7667978
3,500,16026088
12,10,303120
12,50,1436945
12,100,2941110
12,250,7532231
12,500,16469464
